"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:CPI(5.0.0)","USA.CPI._T.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","All Items","Index","Annual","Units","112.4115573023076","115.1573032247906","117.2441954762282","118.6905015771978","124.2664138258379","134.2112061684602","139.7357935632595","143.8573360146079",""
"IMF.STA:CPI(5.0.0)","BHS.CPI._T.IX.A","OBS_VALUE","Bahamas, The","Consumer price index (CPI)","All Items","Index","Annual","Units","103.1983333333333","105.5366666666667","108.1658333333333","108.2075","111.3508333333334","117.5925","121.1825","121.6783333333333",""
"IMF.STA:CPI(5.0.0)","ABW.CPI._T.IX.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Consumer price index (CPI)","All Items","Index","Annual","Units","91.9023333333333","95.23475","99.2893333333333","","","","","",""
"IMF.STA:CPI(5.0.0)","MTQ.CPI._T.IX.A","OBS_VALUE","Martinique","Consumer price index (CPI)","All Items","Index","Annual","Units","100.316666666667","","","","","","","",""
"IMF.STA:CPI(5.0.0)","SXM.CPI._T.IX.A","OBS_VALUE","Sint Maarten, Kingdom of the Netherlands","Consumer price index (CPI)","All Items","Index","Annual","Units","129.724240833333","","","","","","","",""
"IMF.STA:CPI(5.0.0)","CUW.CPI._T.IX.A","OBS_VALUE","Curaçao, Kingdom of the Netherlands","Consumer price index (CPI)","All Items","Index","Annual","Units","125.466666666667","128.708333333333","132.083333333333","","","","","",""
"IMF.STA:CPI(5.0.0)","KNA.CPI._T.IX.A","OBS_VALUE","St. Kitts and Nevis","Consumer price index (CPI)","All Items","Index","Annual","Units","107.3483333333334","106.235","105.8848897416666","104.6489536416667","105.9002295333334","108.7258333333333","112.5933333333334","113.8266666666666",""
"IMF.STA:CPI(5.0.0)","QAT.CPI._T.IX.A","OBS_VALUE","Qatar","Consumer price index (CPI)","All Items","Index","Annual","Units","99.4786945008929","99.73317630395958","99.06831393558715","96.55166666666665","98.77666666666668","103.7108333333333","106.8508333333334","108.205",""
"IMF.STA:CPI(5.0.0)","SYR.CPI._T.IX.A","OBS_VALUE","Syrian Arab Republic","Consumer price index (CPI)","All Items","Index","Annual","Units","782.78","790.1458333333335","896.1641666666668","","","","","",""
"IMF.STA:CPI(5.0.0)","MMR.CPI._T.IX.A","OBS_VALUE","Myanmar","Consumer price index (CPI)","All Items","Index","Annual","Units","133.85118853298","143.049882119771","155.674130014551","","","","","",""
"IMF.STA:CPI(5.0.0)","GNQ.CPI._T.IX.A","OBS_VALUE","Equatorial Guinea, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","134.9225","136.3527784865066","138.4393513624258","145.0383333333333","144.8975","151.8333333333334","156.175","160.7375",""
"IMF.STA:CPI(5.0.0)","GMB.CPI._T.IX.A","OBS_VALUE","Gambia, The","Consumer price index (CPI)","All Items","Index","Annual","Units","84.7470655448074","90.2733947728635","96.69695729048285","102.4323210645312","109.9819391702281","122.6442916271083","143.4621948751418","160.0479356753035",""
"IMF.STA:CPI(5.0.0)","ZWE.CPI._T.IX.A","OBS_VALUE","Zimbabwe","Consumer price index (CPI)","All Items","Index","Annual","Units","2.013752426412092","2.227590095465394","7.914738782816228","52.0158071201273","103.2753590692124","211.41","","",""
"IMF.STA:CPI(5.0.0)","SOM.CPI._T.IX.A","OBS_VALUE","Somalia","Consumer price index (CPI)","All Items","Index","Annual","Units","104.9304245539246","109.4067048465265","114.5581814565651","119.2701081775134","124.7862318739955","133.2458352341088","141.3791666666666","149.2925",""
"IMF.STA:CPI(5.0.0)","SDN.CPI._T.IX.A","OBS_VALUE","Sudan","Consumer price index (CPI)","All Items","Index","Annual","Units","783.159002330597","1278.83997140833","1930.97228503467","5083.43481548078","23337.695470409","55732.3912087947","","",""
"IMF.STA:CPI(5.0.0)","SSD.CPI._T.IX.A","OBS_VALUE","South Sudan, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","10.02678529763251","18.39930438005469","34.4511085153257","44.6747655809033","49.37308372451352","46.0713471568304","47.1691372201289","90.30098406079792",""
"IMF.STA:CPI(5.0.0)","SWZ.CPI._T.IX.A","OBS_VALUE","Eswatini, Kingdom of","Consumer price index (CPI)","All Items","Index","Annual","Units","89.6494159789296","93.9660906492473","96.4073449097445","","","","","",""
"IMF.STA:CPI(5.0.0)","FSM.CPI._T.IX.A","OBS_VALUE","Micronesia, Federated States of","Consumer price index (CPI)","All Items","Index","Annual","Units","100.87425","102.38575","104.3555","104.93425","108.283","114.13975","","",""
"IMF.STA:CPI(5.0.0)","TJK.CPI._T.IX.A","OBS_VALUE","Tajikistan, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","KIR.CPI._T.IX.A","OBS_VALUE","Kiribati","Consumer price index (CPI)","All Items","Index","Annual","Units","85.68831370823355","86.17162192519458","84.60926152286852","86.76954372263628","88.551457621815","93.28537817486102","101.9451286243008","104.4483410207324",""
"IMF.STA:CPI(5.0.0)","KOR.CPI._T.IX.A","OBS_VALUE","Korea, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","97.645","99.08608333333332","99.46558333333335","100","102.4983333333334","107.715","111.59","114.1808333333333","116.605"
"IMF.STA:CPI(5.0.0)","DOM.CPI._T.IX.A","OBS_VALUE","Dominican Republic","Consumer price index (CPI)","All Items","Index","Annual","Units","92.07267282020695","95.3545427144325","97.08103566009592","100.7517004893533","109.0566666666666","118.66575","124.3446333333334","128.4507833333333","133.4258333333334"
"IMF.STA:CPI(5.0.0)","PRY.CPI._T.IX.A","OBS_VALUE","Paraguay","Consumer price index (CPI)","All Items","Index","Annual","Units","97.9636793466581","101.8583333333334","104.6666666666666","106.5166666666667","111.6166666666666","122.5166666666666","128.1916666666667","133.1083333333334","138.4833333333333"
"IMF.STA:CPI(5.0.0)","PER.CPI._T.IX.A","OBS_VALUE","Peru","Consumer price index (CPI)","All Items","Index","Annual","Units","87.5554933470993","88.87684077876105","90.87845558603735","92.6982167384464","96.657972920354","104.7131645","111.4730416666666","113.7110941666667","115.4523004166666"
"IMF.STA:CPI(5.0.0)","JOR.CPI._T.IX.A","OBS_VALUE","Jordan","Consumer price index (CPI)","All Items","Index","Annual","Units","95.7283052247098","99.99999999999995","100.7615140472655","101.0973464811927","102.4582115662692","106.7913288495422","109.0177890813133","110.7147557484566","112.670493057774"
"IMF.STA:CPI(5.0.0)","WBG.CPI._T.IX.A","OBS_VALUE","West Bank and Gaza","Consumer price index (CPI)","All Items","Index","Annual","Units","100.1954891883333","99.99999999999935","101.5801833363939","100.8332317415533","102.0810238545906","105.9001035353094","112.1176063955933","172.2901680735737","189.1890789536575"
"IMF.STA:CPI(5.0.0)","RWA.CPI._T.IX.A","OBS_VALUE","Rwanda","Consumer price index (CPI)","All Items","Index","Annual","Units","121.1589827824816","120.7819237178365","124.8255534190795","137.1213685132049","136.5847484963029","160.7455108831948","192.5563189022719","195.9651287853434","207.5525471812608"
"IMF.STA:CPI(5.0.0)","TUN.CPI._T.IX.A","OBS_VALUE","Tunisia","Consumer price index (CPI)","All Items","Index","Annual","Units","109.1309270799326","117.1057697151828","124.9753656542244","132.0166666666667","139.55","151.1416666666666","165.2416666666667","177.15","186.275"
"IMF.STA:CPI(5.0.0)","LTU.CPI._T.IX.A","OBS_VALUE","Lithuania, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","104.6621166666667","107.485825","109.9950916666667","111.3149166666667","116.5284","139.490375","152.2081583333333","153.2975666666666","159.1101583333333"
"IMF.STA:CPI(5.0.0)","MNG.CPI._T.IX.A","OBS_VALUE","Mongolia","Consumer price index (CPI)","All Items","Index","Annual","Units","61.65656560450742","65.86416248888238","70.67295079117518","73.30461575795988","78.69906327144255","90.62273695735675","100","106.1977990165842","115.3365071097966"
"IMF.STA:CPI(5.0.0)","BGD.CPI._T.IX.A","OBS_VALUE","Bangladesh","Consumer price index (CPI)","All Items","Index","Annual","Units","77.54458680639248","81.8433651111511","86.4200431412378","91.33827239319462","96.40357723077832","103.8237165829844","114.0851367654123","126.025","137.0758333333333"
"IMF.STA:CPI(5.0.0)","SRB.CPI._T.IX.A","OBS_VALUE","Serbia, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","190.4916666666667","194.225","197.8166666666666","200.9333333333333","209.1416666666667","234.2","263.175","275.4666666666668","286.1833333333332"
"IMF.STA:CPI(5.0.0)","KOS.CPI._T.IX.A","OBS_VALUE","Kosovo, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","101.7654691381547","102.837871348522","105.5898045859268","105.7991130624518","109.3472888101242","122.0102630221663","128.0428462125278","130.1164360158546","135.1383302172493"
"IMF.STA:CPI(5.0.0)","IRL.CPI._T.IX.A","OBS_VALUE","Ireland","Consumer price index (CPI)","All Items","Index","Annual","Units","83.13333333333335","83.525","84.30833333333335","84.03333333333332","86","92.73333333333332","98.57499999999998","100.6583333333334","102.8833333333333"
"IMF.STA:CPI(5.0.0)","AGO.CPI._T.IX.A","OBS_VALUE","Angola","Consumer price index (CPI)","All Items","Index","Annual","Units","52.7874678620376","63.14908718469092","73.93555380870768","90.4021396927385","113.6845733308229","137.9622438010399","156.7859527587714","201.063081738323","241.6014600029054"
"IMF.STA:CPI(5.0.0)","NAM.CPI._T.IX.A","OBS_VALUE","Namibia","Consumer price index (CPI)","All Items","Index","Annual","Units","127.1889747687274","132.6474054307862","137.5850646830108","140.624844844955","145.7111123127991","154.5722147063996","163.6609598916732","170.5986121836634","176.5878951067048"
"IMF.STA:CPI(5.0.0)","BOL.CPI._T.IX.A","OBS_VALUE","Bolivia","Consumer price index (CPI)","All Items","Index","Annual","Units","99.3225","101.5791666666667","103.4477611986","104.420937894925","105.19092089275","107.0279001650833","109.785889286325","115.3847123931167","137.904486101075"
"IMF.STA:CPI(5.0.0)","BRA.CPI._T.IX.A","OBS_VALUE","Brazil","Consumer price index (CPI)","All Items","Index","Annual","Units","4848.310833333332","5025.994166666668","5213.613333333335","5381.0625","5827.78","6368.604166666668","6661.15","6952.073333333335","7300.841666666668"
"IMF.STA:CPI(5.0.0)","MUS.CPI._T.IX.A","OBS_VALUE","Mauritius","Consumer price index (CPI)","All Items","Index","Annual","Units","76.22487397969308","78.6763069598317","78.99546148255812","81.03417696220928","84.29866218507752","93.38079033430232","99.96692102713175","103.5702507267442","107.375"
"IMF.STA:CPI(5.0.0)","URY.CPI._T.IX.A","OBS_VALUE","Uruguay","Consumer price index (CPI)","All Items","Index","Annual","Units","65.14553810800458","70.10085535554705","75.62619685944082","83.00459594025278","89.43572066896465","97.5782883830397","103.3052592183334","108.3146796525","113.3516666666666"
"IMF.STA:CPI(5.0.0)","JAM.CPI._T.IX.A","OBS_VALUE","Jamaica","Consumer price index (CPI)","All Items","Index","Annual","Units","92.775","96.24166666666668","100","105.2267777929352","111.3959948309412","122.925","130.8833333333334","137.9666666666667","143.4916666666666"
"IMF.STA:CPI(5.0.0)","LBN.CPI._T.IX.A","OBS_VALUE","Lebanon","Consumer price index (CPI)","All Items","Index","Annual","Units","100.4346772009994","106.5380815659287","109.7399658763178","202.8700560034842","516.823834674948","1401.654620175063","4504.1","6541.891866958372","7496.850803923908"
"IMF.STA:CPI(5.0.0)","LKA.CPI._T.IX.A","OBS_VALUE","Sri Lanka","Consumer price index (CPI)","All Items","Index","Annual","Units","97.23214855072462","99.30809161490682","102.8120719461698","109.1390703933747","116.7949368530021","174.8666666666667","203.7916666666666","202.9166666666666","193.25"
"IMF.STA:CPI(5.0.0)","NPL.CPI._T.IX.A","OBS_VALUE","Nepal","Consumer price index (CPI)","All Items","Index","Annual","Units","70.08606095460668","73.17446918278628","77.24747747454492","81.15338668431305","84.50239822603498","90.98390607067062","97.4582049270913","102.0242159166667","104.731268"
"IMF.STA:CPI(5.0.0)","PHL.CPI._T.IX.A","OBS_VALUE","Philippines","Consumer price index (CPI)","All Items","Index","Annual","Units","94.94250657318145","99.98333333333332","102.375","104.825","108.9416666666667","115.2833333333334","122.175","126.1","128.1916666666667"
"IMF.STA:CPI(5.0.0)","MLI.CPI._T.IX.A","OBS_VALUE","Mali","Consumer price index (CPI)","All Items","Index","Annual","Units","87.54262842144732","87.8048593073593","86.34882034632035","86.727104978355","90.13166666666668","98.8036634199134","100.8378354978355","104.0710984848485","107.4827940802691"
"IMF.STA:CPI(5.0.0)","NER.CPI._T.IX.A","OBS_VALUE","Niger","Consumer price index (CPI)","All Items","Index","Annual","Units","86.22759552042162","88.78648880105402","86.57588932806322","89.08502635046115","92.50399209486168","96.41341238471675","99.98164690382082","109.0515019762846","104.1935759488878"
"IMF.STA:CPI(5.0.0)","SYC.CPI._T.IX.A","OBS_VALUE","Seychelles","Consumer price index (CPI)","All Items","Index","Annual","Units","105.9275","109.849908878749","111.835","113.18","124.2366666666666","127.4991666666667","126.1791666666667","126.5725","126.9491666666667"
"IMF.STA:CPI(5.0.0)","SEN.CPI._T.IX.A","OBS_VALUE","Senegal","Consumer price index (CPI)","All Items","Index","Annual","Units","80.31574051582622","80.68598454824302","82.10614785079022","84.19422776911078","86.0299336973479","94.37210064589422","99.97731079031755","100.7816315536696","102.2520428127166"
"IMF.STA:CPI(5.0.0)","TGO.CPI._T.IX.A","OBS_VALUE","Togo","Consumer price index (CPI)","All Items","Index","Annual","Units","81.54452926201418","82.30106305722148","82.85630945894022","84.264273993042","87.79175772554978","94.78663065127085","99.98973959550332","102.8520666199341","103.2976047518302"
"IMF.STA:CPI(5.0.0)","BFA.CPI._T.IX.A","OBS_VALUE","Burkina Faso","Consumer price index (CPI)","All Items","Index","Annual","Units","83.39733560524838","85.02853997549395","82.27923622811048","83.82995354061368","86.89248608771122","99.30962692091692","100.0474084959846","104.2402125128402","103.6291195732719"
"IMF.STA:CPI(5.0.0)","BEN.CPI._T.IX.A","OBS_VALUE","Benin","Consumer price index (CPI)","All Items","Index","Annual","Units","90.16044970415982","90.98917815695488","91.65599177697552","94.42649686840655","96.06341760995195","97.36102173188042","100.027448797421","101.1886983553951","102.3033449706269"
"IMF.STA:CPI(5.0.0)","GNB.CPI._T.IX.A","OBS_VALUE","Guinea-Bissau","Consumer price index (CPI)","All Items","Index","Annual","Units","81.96887010017238","82.28143765046302","82.48434389634498","83.42467316528662","85.29546211393145","93.30535368886542","99.93209518249045","103.6950964447285","104.6023556316747"
"IMF.STA:CPI(5.0.0)","CIV.CPI._T.IX.A","OBS_VALUE","Côte d'Ivoire","Consumer price index (CPI)","All Items","Index","Annual","Units","84.34516259897218","84.68363789544922","85.35336311355295","87.41253533725615","91.0481945167236","95.81322778103882","99.99999999999998","103.4505302813102","103.579883554615"
"IMF.STA:CPI(5.0.0)","MYS.CPI._T.IX.A","OBS_VALUE","Malaysia","Consumer price index (CPI)","All Items","Index","Annual","Units","119.625","120.6833333333333","121.4833333333333","120.1","123.075","127.2333333333333","130.4","132.7916666666667","134.625"
"IMF.STA:CPI(5.0.0)","BDI.CPI._T.IX.A","OBS_VALUE","Burundi","Consumer price index (CPI)","All Items","Index","Annual","Units","114.8664778768896","111.6333333333334","110.8666666666666","118.9833333333333","128.9833333333333","153.2333333333334","194.5166666666667","233.8333333333334","313.65"
"IMF.STA:CPI(5.0.0)","UKR.CPI._T.IX.A","OBS_VALUE","Ukraine","Consumer price index (CPI)","All Items","Index","Annual","Units","226.75","251.5833333333332","271.425","278.8416666666668","304.95","366.5","413.5916666666668","440.4833333333332","496.5583333333335"
"IMF.STA:CPI(5.0.0)","ITA.CPI._T.IX.A","OBS_VALUE","Italy","Consumer price index (CPI)","All Items","Index","Annual","Units","101.1","102.25","102.875","102.7333333333334","104.6583333333333","113.2416666666666","119.6083333333334","120.7833333333334","122.6333333333334"
"IMF.STA:CPI(5.0.0)","MNE.CPI._T.IX.A","OBS_VALUE","Montenegro","Consumer price index (CPI)","All Items","Index","Annual","Units","102.1023913631466","104.7685132890632","105.1473182069034","104.8785030946696","107.4069161280986","121.4131041158706","131.8361387668899","136.2351812495681","141.5478207845817"
"IMF.STA:CPI(5.0.0)","EGY.CPI._T.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","82.35832786208778","94.2191342667378","102.8428228046656","108.0311741971116","113.6639729926915","129.4583333333333","173.325","222.325","253.6139392548072"
