Country,Year,Type,Value,Lower_CI,Upper_CI,ARIMA_Order,MAPE
USA,1971,Historical,225.0,,,"(1, 1, 3)",
USA,1972,Historical,224.0,,,"(1, 1, 3)",
USA,1973,Historical,232.0,,,"(1, 1, 3)",
USA,1974,Historical,222.0,,,"(1, 1, 3)",
USA,1975,Historical,196.0,,,"(1, 1, 3)",
USA,1976,Historical,204.0,,,"(1, 1, 3)",
USA,1977,Historical,252.0,,,"(1, 1, 3)",
USA,1978,Historical,273.0,,,"(1, 1, 3)",
USA,1979,Historical,308.0,,,"(1, 1, 3)",
USA,1980,Historical,319.0,,,"(1, 1, 3)",
USA,1981,Historical,368.0,,,"(1, 1, 3)",
USA,1982,Historical,623.0,,,"(1, 1, 3)",
USA,1983,Historical,581.0,,,"(1, 1, 3)",
USA,1984,Historical,548.0,,,"(1, 1, 3)",
USA,1985,Historical,593.0,,,"(1, 1, 3)",
USA,1986,Historical,656.0,,,"(1, 1, 3)",
USA,1987,Historical,648.0,,,"(1, 1, 3)",
USA,1988,Historical,680.0,,,"(1, 1, 3)",
USA,1989,Historical,736.0,,,"(1, 1, 3)",
USA,1990,Historical,781.0,,,"(1, 1, 3)",
USA,1991,Historical,893.0,,,"(1, 1, 3)",
USA,1992,Historical,860.0,,,"(1, 1, 3)",
USA,1993,Historical,907.0,,,"(1, 1, 3)",
USA,1994,Historical,849.0,,,"(1, 1, 3)",
USA,1995,Historical,842.0,,,"(1, 1, 3)",
USA,1996,Historical,925.0,,,"(1, 1, 3)",
USA,1997,Historical,1005.0,,,"(1, 1, 3)",
USA,1998,Historical,948.0,,,"(1, 1, 3)",
USA,1999,Historical,943.0,,,"(1, 1, 3)",
USA,2000,Historical,1039.0,,,"(1, 1, 3)",
USA,2001,Historical,980.0,,,"(1, 1, 3)",
USA,2002,Historical,1000.0,,,"(1, 1, 3)",
USA,2003,Historical,1047.0,,,"(1, 1, 3)",
USA,2004,Historical,1075.0,,,"(1, 1, 3)",
USA,2005,Historical,1187.0,,,"(1, 1, 3)",
USA,2006,Historical,1344.0,,,"(1, 1, 3)",
USA,2007,Historical,1468.0,,,"(1, 1, 3)",
USA,2008,Historical,1865.0,,,"(1, 1, 3)",
USA,2009,Historical,2043.0,,,"(1, 1, 3)",
USA,2010,Historical,2358.0,,,"(1, 1, 3)",
USA,2011,Historical,2807.0,,,"(1, 1, 3)",
USA,2012,Historical,2969.0,,,"(1, 1, 3)",
USA,2013,Historical,3243.0,,,"(1, 1, 3)",
USA,2014,Historical,4137.0,,,"(1, 1, 3)",
USA,2015,Historical,4679.0,,,"(1, 1, 3)",
USA,2016,Historical,5186.0,,,"(1, 1, 3)",
USA,2017,Historical,6276.9,,,"(1, 1, 3)",
USA,2018,Historical,7527.1,,,"(1, 1, 3)",
USA,2019,Historical,8452.8,,,"(1, 1, 3)",
USA,2020,Historical,8416.9,,,"(1, 1, 3)",
USA,2021,Historical,8479.8,,,"(1, 1, 3)",
USA,2022,Historical,9455.6,,,"(1, 1, 3)",
USA,2023,Historical,10109.9,,,"(1, 1, 3)",
USA,2024,Forecast,10389.6,8526.2,12660.2,"(1, 1, 3)",18.9
USA,2025,Forecast,10720.5,7803.6,14727.7,"(1, 1, 3)",18.9
USA,2026,Forecast,11030.1,7379.1,16487.5,"(1, 1, 3)",18.9
USA,2027,Forecast,11310.2,6825.3,18742.1,"(1, 1, 3)",18.9
USA,2028,Forecast,11562.8,6225.6,21475.8,"(1, 1, 3)",18.9
USA,2029,Forecast,11790.1,5628.8,24695.6,"(1, 1, 3)",18.9
USA,2030,Forecast,11994.0,5061.2,28423.7,"(1, 1, 3)",18.9
Saudi Arabia,1971,Historical,4516.0,,,"(3, 0, 0)",
Saudi Arabia,1972,Historical,5750.0,,,"(3, 0, 0)",
Saudi Arabia,1973,Historical,7353.0,,,"(3, 0, 0)",
Saudi Arabia,1974,Historical,8265.0,,,"(3, 0, 0)",
Saudi Arabia,1975,Historical,6965.0,,,"(3, 0, 0)",
Saudi Arabia,1976,Historical,8487.0,,,"(3, 0, 0)",
Saudi Arabia,1977,Historical,9121.0,,,"(3, 0, 0)",
Saudi Arabia,1978,Historical,8227.0,,,"(3, 0, 0)",
Saudi Arabia,1979,Historical,9473.0,,,"(3, 0, 0)",
Saudi Arabia,1980,Historical,9844.0,,,"(3, 0, 0)",
Saudi Arabia,1981,Historical,9739.0,,,"(3, 0, 0)",
Saudi Arabia,1982,Historical,6287.0,,,"(3, 0, 0)",
Saudi Arabia,1983,Historical,4657.0,,,"(3, 0, 0)",
Saudi Arabia,1984,Historical,4337.0,,,"(3, 0, 0)",
Saudi Arabia,1985,Historical,2963.0,,,"(3, 0, 0)",
Saudi Arabia,1986,Historical,4687.0,,,"(3, 0, 0)",
Saudi Arabia,1987,Historical,3783.0,,,"(3, 0, 0)",
Saudi Arabia,1988,Historical,4604.0,,,"(3, 0, 0)",
Saudi Arabia,1989,Historical,4722.0,,,"(3, 0, 0)",
Saudi Arabia,1990,Historical,6207.0,,,"(3, 0, 0)",
Saudi Arabia,1991,Historical,7894.0,,,"(3, 0, 0)",
Saudi Arabia,1992,Historical,7953.0,,,"(3, 0, 0)",
Saudi Arabia,1993,Historical,7803.0,,,"(3, 0, 0)",
Saudi Arabia,1994,Historical,7548.0,,,"(3, 0, 0)",
Saudi Arabia,1995,Historical,7606.0,,,"(3, 0, 0)",
Saudi Arabia,1996,Historical,7572.0,,,"(3, 0, 0)",
Saudi Arabia,1997,Historical,7577.0,,,"(3, 0, 0)",
Saudi Arabia,1998,Historical,7740.0,,,"(3, 0, 0)",
Saudi Arabia,1999,Historical,6990.0,,,"(3, 0, 0)",
Saudi Arabia,2000,Historical,7379.0,,,"(3, 0, 0)",
Saudi Arabia,2001,Historical,7105.0,,,"(3, 0, 0)",
Saudi Arabia,2002,Historical,6265.0,,,"(3, 0, 0)",
Saudi Arabia,2003,Historical,7678.0,,,"(3, 0, 0)",
Saudi Arabia,2004,Historical,8320.0,,,"(3, 0, 0)",
Saudi Arabia,2005,Historical,8821.0,,,"(3, 0, 0)",
Saudi Arabia,2006,Historical,8515.0,,,"(3, 0, 0)",
Saudi Arabia,2007,Historical,8000.0,,,"(3, 0, 0)",
Saudi Arabia,2008,Historical,8295.0,,,"(3, 0, 0)",
Saudi Arabia,2009,Historical,7087.0,,,"(3, 0, 0)",
Saudi Arabia,2010,Historical,6921.0,,,"(3, 0, 0)",
Saudi Arabia,2011,Historical,8052.0,,,"(3, 0, 0)",
Saudi Arabia,2012,Historical,8524.0,,,"(3, 0, 0)",
Saudi Arabia,2013,Historical,8568.0,,,"(3, 0, 0)",
Saudi Arabia,2014,Historical,8297.0,,,"(3, 0, 0)",
Saudi Arabia,2015,Historical,8779.0,,,"(3, 0, 0)",
Saudi Arabia,2016,Historical,9376.0,,,"(3, 0, 0)",
Saudi Arabia,2017,Historical,8671.8,,,"(3, 0, 0)",
Saudi Arabia,2018,Historical,9573.8,,,"(3, 0, 0)",
Saudi Arabia,2019,Historical,8592.2,,,"(3, 0, 0)",
Saudi Arabia,2020,Historical,7975.3,,,"(3, 0, 0)",
Saudi Arabia,2021,Historical,7772.4,,,"(3, 0, 0)",
Saudi Arabia,2022,Historical,9069.5,,,"(3, 0, 0)",
Saudi Arabia,2023,Historical,8147.6,,,"(3, 0, 0)",
Saudi Arabia,2024,Forecast,8179.5,6162.2,10857.1,"(3, 0, 0)",7.7
Saudi Arabia,2025,Forecast,7636.9,5262.9,11081.7,"(3, 0, 0)",7.7
Saudi Arabia,2026,Forecast,7455.7,4712.3,11796.4,"(3, 0, 0)",7.7
Saudi Arabia,2027,Forecast,7187.0,4369.7,11820.7,"(3, 0, 0)",7.7
Saudi Arabia,2028,Forecast,7080.2,4214.4,11894.7,"(3, 0, 0)",7.7
Saudi Arabia,2029,Forecast,6987.1,4131.6,11815.9,"(3, 0, 0)",7.7
Saudi Arabia,2030,Forecast,6966.0,4112.1,11800.3,"(3, 0, 0)",7.7
Russia,1971,Historical,0.0,,,"(1, 1, 0)",
Russia,1972,Historical,0.0,,,"(1, 1, 0)",
Russia,1973,Historical,0.0,,,"(1, 1, 0)",
Russia,1974,Historical,0.0,,,"(1, 1, 0)",
Russia,1975,Historical,0.0,,,"(1, 1, 0)",
Russia,1976,Historical,0.0,,,"(1, 1, 0)",
Russia,1977,Historical,0.0,,,"(1, 1, 0)",
Russia,1978,Historical,0.0,,,"(1, 1, 0)",
Russia,1979,Historical,0.0,,,"(1, 1, 0)",
Russia,1980,Historical,0.0,,,"(1, 1, 0)",
Russia,1981,Historical,0.0,,,"(1, 1, 0)",
Russia,1982,Historical,0.0,,,"(1, 1, 0)",
Russia,1983,Historical,0.0,,,"(1, 1, 0)",
Russia,1984,Historical,0.0,,,"(1, 1, 0)",
Russia,1985,Historical,0.0,,,"(1, 1, 0)",
Russia,1986,Historical,0.0,,,"(1, 1, 0)",
Russia,1987,Historical,0.0,,,"(1, 1, 0)",
Russia,1988,Historical,0.0,,,"(1, 1, 0)",
Russia,1989,Historical,0.0,,,"(1, 1, 0)",
Russia,1990,Historical,5781.0,,,"(1, 1, 0)",
Russia,1991,Historical,4614.0,,,"(1, 1, 0)",
Russia,1992,Historical,3723.0,,,"(1, 1, 0)",
Russia,1993,Historical,3430.0,,,"(1, 1, 0)",
Russia,1994,Historical,3445.0,,,"(1, 1, 0)",
Russia,1995,Historical,3375.0,,,"(1, 1, 0)",
Russia,1996,Historical,3607.0,,,"(1, 1, 0)",
Russia,1997,Historical,3686.0,,,"(1, 1, 0)",
Russia,1998,Historical,3774.0,,,"(1, 1, 0)",
Russia,1999,Historical,3666.0,,,"(1, 1, 0)",
Russia,2000,Historical,3961.0,,,"(1, 1, 0)",
Russia,2001,Historical,4367.0,,,"(1, 1, 0)",
Russia,2002,Historical,5106.0,,,"(1, 1, 0)",
Russia,2003,Historical,5904.0,,,"(1, 1, 0)",
Russia,2004,Historical,6579.0,,,"(1, 1, 0)",
Russia,2005,Historical,6735.0,,,"(1, 1, 0)",
Russia,2006,Historical,6729.0,,,"(1, 1, 0)",
Russia,2007,Historical,7061.0,,,"(1, 1, 0)",
Russia,2008,Historical,6781.0,,,"(1, 1, 0)",
Russia,2009,Historical,7001.0,,,"(1, 1, 0)",
Russia,2010,Historical,7213.0,,,"(1, 1, 0)",
Russia,2011,Historical,7309.0,,,"(1, 1, 0)",
Russia,2012,Historical,7288.0,,,"(1, 1, 0)",
Russia,2013,Historical,7414.0,,,"(1, 1, 0)",
Russia,2014,Historical,7200.0,,,"(1, 1, 0)",
Russia,2015,Historical,7703.0,,,"(1, 1, 0)",
Russia,2016,Historical,7670.0,,,"(1, 1, 0)",
Russia,2017,Historical,7711.9,,,"(1, 1, 0)",
Russia,2018,Historical,7931.2,,,"(1, 1, 0)",
Russia,2019,Historical,8103.9,,,"(1, 1, 0)",
Russia,2020,Historical,7245.8,,,"(1, 1, 0)",
Russia,2021,Historical,7200.9,,,"(1, 1, 0)",
Russia,2022,Historical,7456.0,,,"(1, 1, 0)",
Russia,2023,Historical,7574.4,,,"(1, 1, 0)",
Russia,2024,Forecast,7661.5,6812.6,8616.2,"(1, 1, 0)",11.3
Russia,2025,Forecast,7725.4,6111.9,9765.0,"(1, 1, 0)",11.3
Russia,2026,Forecast,7772.2,5458.0,11067.6,"(1, 1, 0)",11.3
Russia,2027,Forecast,7806.3,4879.3,12489.2,"(1, 1, 0)",11.3
Russia,2028,Forecast,7831.2,4378.5,14006.6,"(1, 1, 0)",11.3
Russia,2029,Forecast,7849.3,3948.6,15603.5,"(1, 1, 0)",11.3
Russia,2030,Forecast,7862.5,3579.9,17268.2,"(1, 1, 0)",11.3
Canada,1971,Historical,807.0,,,"(1, 1, 0)",
Canada,1972,Historical,1073.0,,,"(1, 1, 0)",
Canada,1973,Historical,1274.0,,,"(1, 1, 0)",
Canada,1974,Historical,1039.0,,,"(1, 1, 0)",
Canada,1975,Historical,877.0,,,"(1, 1, 0)",
Canada,1976,Historical,617.0,,,"(1, 1, 0)",
Canada,1977,Historical,500.0,,,"(1, 1, 0)",
Canada,1978,Historical,495.0,,,"(1, 1, 0)",
Canada,1979,Historical,535.0,,,"(1, 1, 0)",
Canada,1980,Historical,468.0,,,"(1, 1, 0)",
Canada,1981,Historical,416.0,,,"(1, 1, 0)",
Canada,1982,Historical,457.0,,,"(1, 1, 0)",
