region_country,year,ev_sales,type
Australia,2011,49.0,Actual
Australia,2012,170.0,Actual
Australia,2013,190.0,Actual
Australia,2014,370.0,Actual
Australia,2015,760.0,Actual
Australia,2016,670.0,Actual
Australia,2017,1200.0,Actual
Australia,2018,1800.0,Actual
Australia,2019,6300.0,Actual
Australia,2020,5200.0,Actual
Australia,2021,17000.0,Actual
Australia,2022,33000.0,Actual
Australia,2023,87000.0,Actual
Australia,2024,91000.0,Actual
Australia,2025,111686.20071577719,Forecast
Australia,2026,118109.59821468891,Forecast
Australia,2027,120662.55411431995,Forecast
Australia,2028,121629.72533420619,Forecast
Australia,2029,121989.4403837021,Forecast
Australia,2030,122122.30807957116,Forecast
Australia,2031,122171.26022569322,Forecast
Australia,2032,122189.27858950655,Forecast
Australia,2033,122195.9085124469,Forecast
Australia,2034,122198.34770582126,Forecast
Australia,2035,122199.24505941822,Forecast
Austria,2013,650.0,Actual
Austria,2014,1700.0,Actual
Austria,2015,1700.0,Actual
Austria,2016,3800.0,Actual
Austria,2017,5400.0,Actual
Austria,2018,6800.0,Actual
Austria,2019,9300.0,Actual
Austria,2020,16000.0,Actual
Austria,2021,33000.0,Actual
Austria,2022,34000.0,Actual
Austria,2023,48000.0,Actual
Austria,2024,45000.0,Actual
Austria,2025,52968.435452966274,Forecast
Austria,2026,55036.40818160925,Forecast
Austria,2027,56205.351762478276,Forecast
Austria,2028,56848.559335204714,Forecast
Austria,2029,57197.24719296447,Forecast
Austria,2030,57384.74753082825,Forecast
Austria,2031,57485.1329612927,Forecast
Austria,2032,57538.752474901805,Forecast
Austria,2033,57567.356808708166,Forecast
Austria,2034,57582.60614461683,Forecast
Austria,2035,57590.73286776684,Forecast
Belgium,2010,48.0,Actual
Belgium,2011,280.0,Actual
Belgium,2012,570.0,Actual
Belgium,2013,500.0,Actual
Belgium,2014,1300.0,Actual
Belgium,2015,1400.0,Actual
Belgium,2016,2100.0,Actual
Belgium,2017,2700.0,Actual
Belgium,2018,3600.0,Actual
Belgium,2019,8800.0,Actual
Belgium,2020,15000.0,Actual
Belgium,2021,23000.0,Actual
Belgium,2022,38000.0,Actual
Belgium,2023,93000.0,Actual
Belgium,2024,130000.0,Actual
Belgium,2025,170629.5269503086,Forecast
Belgium,2026,195033.8714372878,Forecast
Belgium,2027,207669.30988101297,Forecast
Belgium,2028,213554.96742547536,Forecast
Belgium,2029,216161.1531077612,Forecast
Belgium,2030,217289.2305512526,Forecast
Belgium,2031,217772.70078515934,Forecast
Belgium,2032,217979.02551356016,Forecast
Belgium,2033,218066.9161609546,Forecast
Belgium,2034,218104.32698504755,Forecast
Belgium,2035,218120.2457183937,Forecast
Brazil,2010,10.0,Actual
Brazil,2011,8.0,Actual
Brazil,2012,22.0,Actual
Brazil,2013,39.0,Actual
Brazil,2014,61.0,Actual
Brazil,2015,61.0,Actual
Brazil,2016,130.0,Actual
Brazil,2017,140.0,Actual
Brazil,2018,180.0,Actual
Brazil,2019,540.0,Actual
Brazil,2020,800.0,Actual
Brazil,2021,2900.0,Actual
Brazil,2022,8500.0,Actual
Brazil,2023,19000.0,Actual
Brazil,2024,62000.0,Actual
Brazil,2025,139887.7920822271,Forecast
Brazil,2026,274020.09886328864,Forecast
Brazil,2027,423356.31255645835,Forecast
Brazil,2028,529518.3516214945,Forecast
Brazil,2029,583330.9208654544,Forecast
Brazil,2030,605986.2837971138,Forecast
Brazil,2031,614769.9161799294,Forecast
Brazil,2032,618065.6450715861,Forecast
Brazil,2033,619286.9844017986,Forecast
Brazil,2034,619737.5053985424,Forecast
Brazil,2035,619903.4077820976,Forecast
Bulgaria,2015,21.0,Actual
Bulgaria,2016,5.0,Actual
Bulgaria,2017,68.0,Actual
Bulgaria,2018,190.0,Actual
Bulgaria,2019,180.0,Actual
Bulgaria,2020,140.0,Actual
Bulgaria,2021,430.0,Actual
Bulgaria,2022,1000.0,Actual
Bulgaria,2023,1800.0,Actual
Bulgaria,2024,1700.0,Actual
Bulgaria,2025,2048.538086561594,Forecast
Bulgaria,2026,2117.6128197216717,Forecast
Bulgaria,2027,2144.2107696546545,Forecast
Bulgaria,2028,2154.1645027219774,Forecast
Bulgaria,2029,2157.8495681245568,Forecast
Bulgaria,2030,2159.2084021546634,Forecast
Bulgaria,2031,2159.7087199491334,Forecast
Bulgaria,2032,2159.89283492263,Forecast
Bulgaria,2033,2159.960574934789,Forecast
Bulgaria,2034,2159.9854961617025,Forecast
Bulgaria,2035,2159.9946643134263,Forecast
Canada,2011,220.0,Actual
Canada,2012,620.0,Actual
Canada,2013,1600.0,Actual
Canada,2014,2800.0,Actual
Canada,2015,4400.0,Actual
Canada,2016,5200.0,Actual
Canada,2017,8700.0,Actual
Canada,2018,23000.0,Actual
Canada,2019,32000.0,Actual
Canada,2020,37000.0,Actual
Canada,2021,59000.0,Actual
Canada,2022,91000.0,Actual
Canada,2023,130000.0,Actual
