Country,Year,Type,Oil Imports (KBD),CI Low (KBD),CI High (KBD)
China,1971,Historical,2.0,,
China,1972,Historical,3.0,,
China,1973,Historical,3.0,,
China,1974,Historical,3.0,,
China,1975,Historical,4.0,,
China,1976,Historical,3.0,,
China,1977,Historical,14.0,,
China,1978,Historical,18.0,,
China,1979,Historical,7.0,,
China,1980,Historical,16.0,,
China,1981,Historical,14.0,,
China,1982,Historical,31.0,,
China,1983,Historical,26.0,,
China,1984,Historical,22.0,,
China,1985,Historical,22.0,,
China,1986,Historical,70.0,,
China,1987,Historical,72.0,,
China,1988,Historical,96.0,,
China,1989,Historical,199.0,,
China,1990,Historical,130.0,,
China,1991,Historical,218.0,,
China,1992,Historical,374.0,,
China,1993,Historical,687.0,,
China,1994,Historical,536.0,,
China,1995,Historical,701.0,,
China,1996,Historical,867.0,,
China,1997,Historical,1327.0,,
China,1998,Historical,1125.0,,
China,1999,Historical,1249.0,,
China,2000,Historical,1918.0,,
China,2001,Historical,1785.0,,
China,2002,Historical,2024.0,,
China,2003,Historical,2610.0,,
China,2004,Historical,3404.0,,
China,2005,Historical,3382.0,,
China,2006,Historical,3815.0,,
China,2007,Historical,4126.0,,
China,2008,Historical,4499.0,,
China,2009,Historical,5045.0,,
China,2010,Historical,5735.0,,
China,2011,Historical,6157.0,,
China,2012,Historical,6449.0,,
China,2013,Historical,6709.0,,
China,2014,Historical,7150.0,,
China,2015,Historical,7884.0,,
China,2016,Historical,8858.0,,
China,2017,Historical,9811.7,,
China,2018,Historical,10782.4,,
China,2019,Historical,11617.0,,
China,2020,Historical,12273.3,,
China,2021,Historical,11859.1,,
China,2022,Historical,11856.7,,
China,2023,Historical,13621.2,,
China,2024,Forecast,14433.7,7752.5,26872.9
China,2025,Forecast,15254.1,7394.3,31468.6
China,2026,Forecast,15996.5,7440.7,34390.3
China,2027,Forecast,16852.7,6958.2,40817.1
China,2028,Forecast,17665.4,6724.2,46409.2
China,2029,Forecast,18564.2,6177.5,55788.2
China,2030,Forecast,19443.2,5776.0,65449.8
USA,1971,Historical,3916.0,,
USA,1972,Historical,4717.0,,
USA,1973,Historical,6175.0,,
USA,1974,Historical,6027.0,,
USA,1975,Historical,6370.0,,
USA,1976,Historical,7529.0,,
USA,1977,Historical,9272.0,,
USA,1978,Historical,8657.0,,
